batch,q0_wrist,q1_wrist,q2_wrist,q3_wrist,ax_wrist,ay_wrist,az_wrist,gx_wrist,gy_wrist,gz_wrist,q0_arm,q1_arm,q2_arm,q3_arm,ax_arm,ay_arm,az_arm,gx_arm,gy_arm,gz_arm,category
532,81,57,-8,-7,2,60,20,0,-2,0,51,-16,84,3,-54,-10,-27,-1,-1,0,8
532,81,57,-8,-7,3,61,18,0,-2,0,51,-16,84,3,-53,-10,-25,0,-1,0,8
532,81,57,-8,-7,4,60,17,1,-2,0,51,-16,84,3,-52,-10,-26,0,-1,0,8
532,81,57,-9,-7,4,61,17,1,-2,0,51,-16,84,3,-51,-9,-26,0,-1,0,8
532,80,57,-9,-7,3,62,16,0,-1,0,51,-16,84,3,-51,-9,-26,0,-1,-1,8
532,80,57,-9,-7,3,63,15,0,-1,0,51,-16,83,3,-53,-9,-27,0,-1,-1,8
532,80,57,-9,-7,3,63,17,0,-1,0,51,-16,83,3,-55,-10,-27,0,-1,-1,8
532,80,57,-9,-7,3,62,17,-1,-2,0,51,-16,83,3,-55,-10,-27,0,-1,-1,8
532,80,57,-9,-8,3,61,18,-1,-2,0,51,-16,83,3,-54,-11,-27,0,-1,-1,8
532,80,57,-9,-8,4,60,16,-1,-1,-1,51,-16,83,3,-54,-10,-26,0,-1,-1,8
532,80,57,-10,-8,4,61,17,0,-1,-1,51,-16,83,3,-53,-10,-26,0,-1,-1,8
532,80,57,-10,-8,4,62,16,0,-1,-1,51,-16,83,3,-54,-10,-26,0,-1,-1,8
532,80,57,-10,-8,3,62,16,0,-1,-1,51,-16,83,3,-53,-10,-26,0,-1,-1,8
532,80,57,-10,-8,3,62,15,-1,-1,-1,51,-16,83,3,-54,-10,-26,0,-1,-1,8
532,80,57,-10,-8,2,62,16,-1,-1,-1,51,-16,83,3,-54,-10,-27,0,-1,-1,8
532,80,57,-10,-8,3,64,17,-1,-1,-1,51,-16,83,3,-54,-10,-27,0,-1,-1,8
532,80,57,-10,-8,4,65,17,-1,-1,-1,51,-16,83,3,-54,-10,-25,0,-1,-1,8
532,80,57,-10,-8,4,61,15,-1,-1,-1,52,-16,83,3,-55,-11,-26,0,-1,-1,8
532,80,57,-10,-8,4,59,15,-1,-1,-1,52,-16,83,3,-55,-10,-25,0,-1,-1,8
532,80,57,-10,-8,3,60,16,-1,-1,-1,52,-16,83,3,-53,-10,-26,0,-1,-1,8
532,80,57,-10,-8,5,60,17,0,-1,-1,52,-16,83,3,-51,-11,-25,-1,-1,-1,8
532,80,57,-10,-9,6,59,16,0,-1,-1,52,-16,83,3,-50,-12,-25,-1,0,-1,8
532,80,57,-10,-9,6,58,15,1,0,-1,52,-16,83,3,-50,-12,-25,-1,0,-1,8
532,80,57,-10,-8,5,59,15,1,1,-1,52,-16,83,3,-50,-11,-26,-1,1,-1,8
532,80,58,-10,-8,5,60,15,2,1,-1,51,-16,83,3,-50,-10,-26,-1,1,-1,8
532,80,58,-10,-8,3,62,11,3,1,-1,51,-16,83,2,-50,-9,-26,-1,2,-1,8
532,79,58,-10,-8,1,67,10,3,1,-1,51,-16,83,2,-51,-9,-29,-1,2,-1,8
532,79,59,-10,-8,-2,76,12,1,1,-1,51,-17,84,2,-54,-9,-31,-1,2,-1,8
532,79,59,-9,-8,-1,77,14,-1,0,-1,51,-17,84,2,-58,-10,-31,-1,1,-1,8
532,79,59,-9,-8,3,69,14,-2,0,0,50,-17,84,2,-62,-12,-30,-1,1,0,8
532,79,59,-9,-8,4,61,14,-2,0,0,50,-17,84,2,-63,-12,-29,-1,0,0,8
532,79,59,-9,-8,5,58,15,-2,0,-1,50,-17,84,2,-58,-11,-28,-1,-1,0,8
532,79,58,-9,-8,5,58,16,-1,0,-1,50,-17,84,2,-51,-10,-28,-1,-1,0,8
532,79,58,-9,-8,4,59,16,0,0,-1,50,-17,84,2,-47,-9,-27,-1,0,0,8
532,79,59,-9,-8,3,62,12,0,1,-1,50,-17,84,2,-46,-9,-27,-1,0,0,8
532,79,59,-9,-8,2,66,10,0,1,-1,50,-17,84,2,-48,-8,-31,-1,1,0,8
532,79,59,-9,-8,0,70,12,0,0,-1,50,-17,84,2,-53,-9,-32,-1,1,0,8
532,79,59,-9,-8,1,68,16,-1,0,0,50,-17,84,2,-59,-10,-32,-1,1,0,8
532,79,59,-9,-8,3,63,16,-2,-1,0,50,-17,84,3,-61,-11,-30,-1,0,0,8
532,79,59,-9,-8,5,60,14,-1,-1,0,49,-17,84,3,-59,-12,-29,-1,0,0,8
532,79,59,-9,-8,5,60,14,-1,0,0,49,-17,84,3,-55,-10,-28,-1,-1,0,8
532,79,59,-9,-8,4,62,15,-1,0,-1,49,-17,84,3,-51,-9,-28,-1,-1,0,8
532,79,59,-9,-8,3,64,14,-1,0,-1,49,-17,84,3,-50,-9,-29,-1,0,0,8
532,79,59,-8,-8,2,65,13,-1,0,-1,49,-17,84,3,-50,-10,-29,-1,0,0,8
532,79,59,-8,-8,2,64,13,-1,0,-1,49,-17,84,3,-52,-10,-30,-1,0,0,8
532,79,59,-8,-8,2,63,14,-1,0,0,49,-17,84,3,-54,-10,-31,-1,0,0,8
532,79,59,-8,-8,2,63,15,-1,0,0,49,-17,84,3,-55,-10,-31,-1,0,0,8
532,79,58,-8,-8,2,61,15,-1,0,0,49,-17,84,3,-55,-10,-30,-1,0,0,8
532,79,58,-8,-8,3,60,14,-1,-1,0,49,-17,84,3,-54,-10,-29,-1,-1,0,8
532,79,58,-8,-8,4,60,15,-1,0,0,49,-17,84,3,-52,-10,-29,-1,-1,0,8
532,79,58,-8,-8,2,61,14,-1,0,0,49,-17,84,3,-50,-10,-29,-1,0,0,8
