batch,q0_wrist,q1_wrist,q2_wrist,q3_wrist,ax_wrist,ay_wrist,az_wrist,gx_wrist,gy_wrist,gz_wrist,q0_arm,q1_arm,q2_arm,q3_arm,ax_arm,ay_arm,az_arm,gx_arm,gy_arm,gz_arm,category
535,99,4,7,7,-8,10,69,0,-2,0,77,-22,58,6,-59,-17,11,-1,-1,-1,8
535,99,4,7,7,-7,11,67,0,-2,0,77,-22,58,6,-58,-16,11,0,-1,-1,8
535,99,4,7,7,-7,12,68,0,-1,0,77,-22,58,6,-56,-15,10,0,-1,-1,8
535,99,4,6,7,-8,12,67,0,-1,0,77,-22,58,6,-55,-15,11,0,-1,-1,8
535,99,4,6,7,-10,11,66,0,-1,-1,77,-22,58,6,-55,-15,11,0,-1,-1,8
535,99,5,6,7,-10,10,67,-1,-1,-1,77,-22,58,6,-56,-15,11,0,0,-1,8
535,99,5,6,7,-9,8,68,-1,-2,-1,77,-22,58,6,-57,-15,12,0,0,-1,8
535,99,5,6,7,-7,9,68,0,-2,-1,77,-22,58,6,-58,-16,12,0,0,-1,8
535,99,5,6,7,-5,9,69,0,-1,-1,77,-22,58,6,-58,-16,12,0,0,-1,8
535,99,5,6,7,-5,11,68,0,-1,-1,77,-22,58,6,-58,-16,12,0,0,-1,8
535,99,5,6,7,-5,12,67,0,0,-1,77,-22,58,6,-58,-15,12,0,0,-1,8
535,99,5,6,7,-9,13,66,0,0,-1,77,-22,58,6,-57,-15,11,0,0,-1,8
535,99,5,6,7,-9,14,65,-1,0,-1,77,-22,58,6,-57,-15,11,0,0,-1,8
535,99,5,6,7,-8,11,67,-1,0,-1,77,-22,58,6,-58,-16,12,-1,0,-1,8
535,99,5,6,6,-5,10,68,-1,0,-1,77,-22,58,6,-58,-17,12,-1,0,-1,8
535,99,5,6,6,-5,11,68,-1,1,-1,77,-22,58,6,-57,-17,12,-1,0,-1,8
535,99,5,6,6,-8,11,68,0,2,-1,77,-22,58,6,-56,-16,12,-1,0,-1,8
535,99,5,7,6,-11,14,65,0,2,-1,77,-22,58,6,-54,-15,11,-1,0,-1,8
535,99,5,7,6,-15,16,65,0,2,-1,77,-22,58,6,-54,-15,10,-1,0,-1,8
535,99,5,7,6,-16,16,66,-1,1,-1,77,-22,58,6,-56,-15,10,-1,0,-1,8
535,99,5,7,6,-14,14,68,-1,0,-1,77,-22,58,6,-58,-16,10,-1,0,-1,8
535,99,5,7,6,-11,12,71,-2,0,0,77,-22,58,6,-59,-17,10,-1,0,-1,8
535,99,5,7,6,-9,10,70,-1,0,0,77,-22,58,6,-61,-16,9,-1,0,-1,8
535,99,5,7,6,-9,10,69,-1,0,-1,77,-22,58,6,-60,-17,10,-1,0,0,8
535,99,5,7,6,-9,13,69,0,0,-1,77,-22,58,6,-58,-16,10,-1,0,0,8
535,99,5,8,6,-9,14,68,0,0,-1,77,-22,58,6,-56,-15,10,-1,0,0,8
535,99,5,8,6,-10,14,68,0,0,-1,77,-22,58,6,-57,-16,10,-1,0,0,8
535,99,5,8,6,-12,14,68,-1,0,-1,77,-22,58,6,-57,-16,10,-1,0,0,8
535,99,5,8,6,-11,14,69,-1,0,-1,77,-22,58,6,-58,-16,10,-1,0,0,8
535,99,5,8,6,-12,11,68,-1,0,-1,77,-22,59,6,-60,-16,10,-1,0,0,8
535,99,5,8,6,-11,11,68,-1,0,-1,77,-22,59,6,-60,-16,10,-1,0,0,8
535,99,5,8,6,-10,11,69,-1,0,0,77,-23,59,6,-60,-16,10,-1,0,-1,8
535,99,5,8,6,-9,11,70,-1,0,0,76,-23,59,6,-60,-16,10,-1,0,0,8
535,99,5,8,6,-9,11,70,-1,0,-1,76,-23,59,6,-59,-16,10,-1,0,0,8
535,99,5,8,6,-10,11,69,-1,0,-1,76,-23,59,6,-59,-16,10,-1,0,0,8
535,99,4,8,6,-11,10,68,-1,0,-1,76,-23,59,6,-58,-16,10,-1,0,0,8
535,99,4,8,6,-11,11,68,-1,0,-1,76,-23,59,6,-57,-16,10,-1,0,0,8
535,99,4,8,6,-11,11,68,-1,0,-1,76,-23,59,6,-57,-16,10,-1,0,0,8
535,99,4,8,6,-11,10,68,-1,0,-1,76,-23,59,6,-58,-16,10,-1,0,0,8
535,99,4,8,6,-11,10,67,-1,0,-1,76,-23,59,6,-59,-16,10,-1,0,0,8
535,99,4,8,6,-11,11,68,-1,0,-1,76,-23,59,6,-59,-16,10,-1,0,0,8
535,99,4,8,6,-10,10,68,-1,0,-1,76,-23,59,6,-59,-16,10,-1,0,0,8
535,99,4,8,6,-11,11,69,-1,0,-1,76,-23,59,6,-58,-16,10,-1,0,0,8
535,99,4,8,6,-11,11,68,-1,0,-1,76,-23,59,6,-57,-16,10,-1,0,0,8
535,99,4,8,6,-11,11,68,-1,0,-1,76,-23,59,6,-57,-15,10,-1,0,0,8
535,99,4,8,6,-12,11,67,-1,0,-1,76,-23,59,6,-57,-16,10,-1,0,0,8
535,99,4,8,6,-12,11,67,-1,0,-1,76,-23,59,6,-57,-16,10,-1,0,0,8
535,99,4,8,6,-12,11,67,-1,0,-1,76,-23,59,6,-58,-16,10,-1,0,0,8
535,99,4,8,6,-12,11,68,-1,0,-1,76,-23,59,6,-58,-16,10,-1,0,0,8
535,99,4,8,6,-11,11,67,-1,0,-1,76,-23,59,6,-58,-16,9,-1,0,0,8
535,99,4,8,6,-11,11,68,-1,0,-1,76,-23,59,6,-58,-16,10,-1,0,0,8
535,99,4,8,6,-11,11,67,-1,0,-1,76,-23,59,6,-57,-16,10,-1,0,0,8
535,99,4,8,6,-11,11,68,-1,0,-1,76,-23,59,7,-57,-16,10,-1,0,0,8
535,99,4,8,6,-11,12,67,-1,0,-1,76,-23,59,7,-58,-16,9,-1,0,0,8
535,99,4,8,6,-11,12,67,-1,0,-1,76,-23,59,7,-58,-16,9,-1,0,0,8
535,99,4,8,6,-12,12,67,-1,0,-1,76,-23,59,7,-58,-16,9,-1,0,0,8
535,99,4,8,6,-11,11,67,-1,0,0,76,-23,59,7,-58,-16,9,-1,0,0,8
535,99,4,8,6,-12,11,67,-1,0,0,76,-23,59,7,-58,-16,9,-1,0,0,8
535,99,4,8,6,-12,11,67,-1,0,0,76,-23,59,7,-58,-15,10,-1,-1,0,8
535,99,4,8,6,-12,11,67,-1,0,0,76,-23,59,7,-57,-16,9,-1,-1,0,8
535,99,4,8,6,-12,11,67,-1,0,0,76,-23,59,7,-57,-16,10,-1,0,0,8
535,99,4,8,6,-11,10,67,-1,0,0,76,-23,59,7,-57,-16,10,-1,0,0,8
535,99,4,8,6,-11,11,67,-1,0,0,76,-23,59,7,-57,-15,10,-1,0,0,8
535,99,4,8,6,-11,11,67,-1,0,-1,76,-23,59,7,-57,-15,10,-1,0,0,8
535,99,4,8,6,-11,11,67,-1,0,-1,76,-23,59,7,-57,-15,10,-1,0,0,8
535,99,4,8,6,-11,11,67,-1,0,-1,76,-23,59,7,-57,-15,9,-1,0,0,8
535,99,4,9,6,-12,11,66,-1,0,-1,76,-23,59,7,-57,-16,10,-1,0,0,8
535,99,4,9,6,-12,11,66,-1,0,-1,76,-23,59,7,-58,-16,10,-1,0,0,8
535,99,4,9,6,-12,11,67,-1,0,-1,76,-23,59,7,-58,-15,9,-1,0,-1,8
535,99,4,9,6,-12,10,67,-1,0,0,76,-23,59,7,-58,-16,10,-1,0,-1,8
535,99,4,9,6,-11,10,67,-1,0,-1,76,-23,59,7,-58,-16,10,-1,0,-1,8
535,99,4,9,6,-12,10,68,-1,0,-1,76,-23,59,7,-57,-16,10,-1,0,-1,8
535,99,4,9,6,-12,10,67,-1,0,-1,76,-23,59,7,-57,-16,10,-1,0,-1,8
535,99,4,9,6,-11,11,67,-1,0,-1,76,-23,59,7,-57,-16,10,-1,0,-1,8
535,99,4,9,6,-12,11,67,-1,0,-1,76,-23,59,7,-57,-16,10,-1,0,-1,8
535,99,4,9,6,-12,12,67,-1,0,-1,76,-23,59,7,-58,-16,10,-1,0,-1,8
535,99,4,9,6,-12,12,67,-1,0,-1,76,-23,59,7,-58,-15,10,-1,0,-1,8
535,99,4,9,6,-12,11,67,-1,0,-1,76,-23,59,7,-58,-16,10,-1,0,-1,8
535,99,4,9,6,-12,11,67,-1,0,-1,76,-23,59,7,-58,-16,10,-1,0,-1,8
535,99,4,9,6,-12,11,68,-1,0,0,76,-23,59,7,-58,-16,10,-1,0,-1,8
535,99,4,9,6,-12,11,68,-1,0,0,76,-23,59,7,-58,-16,10,-1,0,-1,8
535,99,4,9,6,-12,11,68,-1,0,-1,76,-23,59,7,-58,-16,10,-1,0,-1,8
535,99,4,9,6,-12,10,68,-1,0,-1,76,-23,59,7,-58,-16,10,-1,0,-1,8
535,99,4,9,6,-12,10,68,-1,0,-1,76,-24,59,7,-58,-16,10,-1,0,-1,8
535,99,4,9,6,-12,11,67,-1,0,-1,76,-24,59,7,-58,-16,10,-1,0,-1,8
535,99,4,9,6,-12,11,67,-1,0,-1,75,-24,59,7,-58,-16,10,-1,0,-1,8
535,99,4,9,6,-12,12,68,-1,0,-1,75,-24,59,7,-58,-16,10,-1,0,-1,8
535,99,4,9,6,-12,11,68,-1,0,-1,75,-24,59,7,-58,-16,10,-1,0,-1,8
535,99,4,9,6,-12,11,68,-1,0,-1,75,-24,59,7,-58,-16,10,-1,0,-1,8
535,99,4,9,6,-12,10,68,-1,0,-1,75,-24,59,7,-58,-16,10,-1,0,-1,8
535,99,4,9,6,-12,10,68,-1,0,-1,75,-24,59,7,-58,-16,10,-1,0,-1,8
535,99,4,9,6,-12,11,68,-1,0,-1,75,-24,59,7,-58,-16,10,-1,0,-1,8
535,99,4,9,6,-12,12,68,-1,0,-1,75,-24,59,7,-58,-16,10,-1,0,0,8
535,99,4,9,6,-12,12,68,-1,0,-1,75,-24,59,7,-58,-16,10,-1,0,0,8
535,99,4,9,6,-12,12,68,-1,0,-1,75,-24,59,7,-58,-16,10,-1,0,0,8
535,99,4,9,6,-12,12,68,-1,0,-1,75,-24,59,7,-59,-16,10,-1,0,0,8
535,99,4,9,6,-12,11,67,-1,0,0,75,-24,59,8,-58,-16,9,-1,0,0,8
