batch,q0_wrist,q1_wrist,q2_wrist,q3_wrist,ax_wrist,ay_wrist,az_wrist,gx_wrist,gy_wrist,gz_wrist,q0_arm,q1_arm,q2_arm,q3_arm,ax_arm,ay_arm,az_arm,gx_arm,gy_arm,gz_arm,category
538,79,-6,1,60,-5,-4,68,-1,-1,0,77,-29,33,44,-46,-7,39,-1,-1,0,8
538,79,-6,1,60,-5,-5,71,-1,-1,0,77,-29,33,44,-47,-7,40,-1,-1,0,8
538,79,-6,1,60,-4,-5,69,-1,-1,0,77,-29,33,44,-48,-8,40,-1,-1,0,8
538,79,-6,1,60,-4,-5,69,-1,-1,0,77,-29,33,44,-48,-7,39,-1,-1,0,8
538,79,-6,0,60,-4,-6,69,-1,0,0,77,-29,33,45,-48,-7,39,-1,-1,0,8
538,79,-6,0,60,-5,-5,69,-1,0,-1,77,-29,33,45,-46,-7,40,-1,-1,0,8
538,79,-6,0,60,-6,-6,68,-1,0,-1,77,-28,33,45,-44,-7,40,-1,-1,0,8
538,79,-6,1,60,-6,-7,68,-1,0,-1,77,-28,33,45,-43,-7,40,-1,-1,0,8
538,79,-6,1,60,-6,-7,68,-1,0,-1,77,-28,33,45,-44,-7,40,-1,-1,0,8
538,79,-6,1,60,-6,-8,68,-1,0,-1,77,-28,32,45,-44,-7,41,-1,0,-1,8
538,79,-6,1,60,-6,-7,68,-1,0,-1,77,-28,32,45,-44,-7,40,-1,0,-1,8
538,79,-6,1,60,-6,-7,68,-1,0,-1,77,-28,32,45,-43,-7,40,-1,0,-1,8
538,79,-6,1,60,-6,-8,66,0,0,-1,77,-28,32,45,-44,-7,40,-1,0,-1,8
538,79,-6,1,60,-7,-6,66,0,1,-1,77,-29,32,45,-44,-6,39,-1,0,-1,8
538,79,-7,1,60,-8,-6,66,0,0,-1,77,-29,32,45,-45,-6,39,-1,0,-1,8
538,79,-7,1,59,-8,-5,67,-1,0,-1,77,-29,33,45,-46,-7,39,-1,0,-1,8
538,79,-7,1,59,-8,-4,67,-1,0,-1,77,-29,33,45,-46,-7,39,-1,0,-1,8
538,79,-7,1,59,-9,-3,68,-1,0,-1,77,-29,33,45,-46,-8,38,-1,0,-1,8
538,79,-7,1,59,-9,-4,70,-1,0,-1,77,-29,33,44,-46,-9,38,-1,0,-1,8
538,79,-7,1,59,-8,-5,70,-1,0,-1,77,-29,33,44,-46,-9,38,-1,0,-1,8
538,79,-7,1,59,-8,-5,70,-1,0,-1,77,-29,33,44,-46,-9,38,-1,0,-1,8
538,79,-7,1,59,-8,-4,70,0,0,-1,77,-29,33,44,-46,-8,38,0,0,-1,8
538,79,-7,1,59,-8,-3,70,0,0,-1,77,-29,33,44,-46,-8,37,0,0,-1,8
538,79,-7,2,59,-9,-1,70,0,0,-1,77,-29,33,44,-46,-8,37,-1,0,-1,8
538,79,-7,2,59,-9,-1,70,0,0,-1,77,-29,33,44,-46,-8,37,-1,0,-1,8
538,79,-7,2,59,-8,-1,70,0,0,-1,77,-29,33,44,-48,-8,37,-1,0,-1,8
538,80,-7,2,59,-8,-1,69,0,0,-1,77,-29,33,44,-49,-8,37,-1,0,-1,8
538,80,-7,2,59,-8,0,69,0,0,-1,77,-29,33,44,-49,-8,37,-1,0,-1,8
538,80,-7,2,59,-8,-1,69,0,0,-1,77,-29,33,44,-49,-7,37,-1,0,-1,8
538,80,-7,2,59,-7,-2,69,0,0,-1,77,-29,33,44,-49,-7,37,-1,0,-1,8
538,80,-7,2,59,-7,-1,69,0,0,-1,77,-29,33,44,-49,-6,37,-1,0,-1,8
538,80,-7,2,59,-8,0,69,0,0,-1,77,-29,33,44,-49,-7,37,-1,0,-1,8
538,80,-7,2,59,-8,0,70,-1,0,-1,77,-29,33,44,-50,-7,38,-1,0,-1,8
538,80,-7,2,59,-8,0,70,-1,0,-1,77,-29,33,44,-50,-7,38,-1,0,-1,8
538,80,-7,2,59,-8,-1,70,-1,0,-1,77,-29,33,44,-50,-8,37,-1,0,-1,8
538,80,-7,2,59,-8,-2,70,-1,0,-1,77,-29,33,44,-49,-8,37,-1,0,-1,8
538,80,-7,2,59,-8,-2,70,-1,0,-1,77,-29,33,44,-48,-7,38,-1,0,-1,8
538,80,-7,2,59,-8,-3,70,-1,0,-1,77,-29,33,44,-48,-7,38,-1,0,-1,8
538,80,-7,2,59,-9,-2,70,-1,0,-1,77,-29,33,44,-47,-8,38,-1,0,-1,8
