batch,q0_wrist,q1_wrist,q2_wrist,q3_wrist,ax_wrist,ay_wrist,az_wrist,gx_wrist,gy_wrist,gz_wrist,q0_arm,q1_arm,q2_arm,q3_arm,ax_arm,ay_arm,az_arm,gx_arm,gy_arm,gz_arm,category
500,98,11,241,253,201,27,18,3,244,250,0,0,0,0,232,30,203,255,244,253,3
501,82,23,49,245,200,23,26,0,255,255,68,68,23,7,240,59,243,255,255,1,3
501,82,23,49,245,198,24,25,0,255,0,68,68,23,7,241,59,244,255,255,1,3
501,82,23,49,245,197,24,28,255,255,0,68,68,23,7,240,60,247,255,255,255,3
501,82,23,49,245,199,18,26,255,0,255,69,68,23,7,240,57,247,255,0,255,3
501,82,23,50,245,196,16,22,255,0,255,68,67,24,7,238,57,249,0,0,255,3
502,82,21,51,246,197,17,24,255,255,0,68,68,24,7,240,60,243,255,0,0,3
502,82,21,51,246,198,17,25,255,255,0,68,68,24,7,240,60,243,255,0,0,3
502,82,21,51,246,199,16,25,255,0,255,68,68,24,7,240,58,247,255,255,255,3
502,82,21,51,246,196,16,23,255,0,255,68,68,24,7,239,58,248,255,255,0,3
502,82,21,51,246,194,17,22,255,0,255,68,68,24,7,240,59,246,255,0,0,3
502,82,21,51,246,197,17,23,255,0,255,68,68,24,8,241,59,246,255,0,0,3
502,82,21,51,246,197,17,24,0,0,255,68,68,24,8,240,59,246,255,0,255,3
503,82,21,51,246,195,17,23,0,255,0,67,68,24,9,242,59,248,255,0,255,3
503,82,21,51,246,197,18,25,0,255,0,67,68,24,9,242,59,248,255,0,255,3
503,82,21,51,246,199,17,26,255,255,0,67,68,24,9,242,60,246,255,0,0,3
503,82,21,51,247,197,17,24,255,0,255,67,68,24,9,243,60,246,255,0,255,3
503,82,21,52,247,198,16,23,0,0,255,67,68,24,9,241,59,246,255,0,0,3
504,81,20,53,248,196,16,21,255,0,255,67,68,23,11,245,60,247,255,0,255,3
504,81,20,53,248,195,16,21,255,0,255,67,68,23,11,244,60,247,255,0,255,3
504,81,20,53,248,195,16,20,255,0,255,67,68,23,11,244,60,246,255,0,0,3
504,81,20,53,248,196,17,22,255,255,255,67,68,23,11,244,61,247,255,255,0,3
504,81,20,53,248,197,18,23,255,0,0,67,68,23,11,247,61,247,255,255,0,3
504,81,20,53,249,194,19,23,255,0,255,67,68,23,11,246,61,247,255,0,255,3
505,81,19,54,249,196,16,20,255,0,0,67,68,23,12,246,61,247,255,0,0,3
505,81,19,54,249,195,17,21,255,255,0,67,68,23,12,246,61,247,255,0,255,3
505,81,19,54,250,196,17,21,255,0,255,67,68,23,12,245,60,247,255,0,255,3
505,81,19,54,250,196,15,21,255,0,0,67,68,24,12,246,61,247,255,0,0,3
505,81,19,54,250,195,16,21,255,0,255,67,68,24,12,245,61,247,255,0,0,3
505,81,19,54,250,196,17,22,255,255,0,67,68,24,12,246,60,249,255,255,255,3
505,81,19,54,250,196,17,21,255,0,255,67,68,24,12,246,61,247,255,0,0,3
505,81,19,54,250,196,16,20,255,0,255,67,68,24,12,246,61,246,255,0,255,3
505,81,19,54,250,196,16,21,255,255,0,67,68,24,12,244,61,247,255,0,0,3
506,81,18,55,251,196,17,20,255,255,0,67,68,24,13,246,60,247,255,0,0,3
506,81,18,55,251,195,16,20,255,0,255,67,68,24,13,246,61,247,255,0,0,3
506,81,18,55,252,195,16,20,255,0,0,67,68,24,13,246,60,247,255,0,255,3
506,81,18,55,252,196,16,21,255,0,255,67,68,24,13,245,61,246,255,0,0,3
506,81,18,55,252,195,16,20,255,0,0,67,68,24,13,246,61,247,255,255,0,3
506,81,18,55,252,197,16,22,255,0,255,67,68,24,13,246,60,248,255,255,0,3
506,81,18,55,252,195,17,21,255,0,255,67,68,24,13,246,61,248,255,0,0,3
506,81,18,55,252,195,16,20,255,0,255,67,68,24,13,246,61,248,0,0,0,3
506,81,17,55,252,196,16,20,255,0,255,66,68,24,13,246,61,246,0,0,0,3
506,80,17,55,252,195,16,20,0,0,255,66,68,24,14,246,61,244,255,255,0,3
506,80,17,55,252,197,15,19,255,0,0,67,68,24,14,249,61,249,255,255,0,3
506,80,17,55,252,195,15,17,255,0,0,67,68,24,14,247,61,247,255,0,0,3
506,80,18,55,252,189,19,21,0,255,0,67,68,24,14,246,61,247,255,0,0,3
506,80,18,55,252,180,20,20,255,254,255,67,68,24,14,248,61,249,0,255,255,3
506,81,17,54,252,177,21,25,255,252,254,66,68,24,14,247,61,248,0,0,255,3
