batch,q0_wrist,q1_wrist,q2_wrist,q3_wrist,ax_wrist,ay_wrist,az_wrist,gx_wrist,gy_wrist,gz_wrist,q0_arm,q1_arm,q2_arm,q3_arm,ax_arm,ay_arm,az_arm,gx_arm,gy_arm,gz_arm,category
529,67,20,-53,46,60,-13,23,-2,-2,0,54,15,50,65,-11,57,9,0,-2,0,8
529,67,20,-53,46,61,-16,19,-2,-1,0,54,15,50,65,-11,56,10,0,-1,0,8
529,67,20,-53,46,61,-15,17,-1,-1,0,54,15,50,65,-10,59,8,0,-1,0,8
529,67,20,-53,46,61,-13,17,0,-1,-1,54,16,50,65,-11,60,9,0,-1,0,8
529,67,20,-53,46,60,-13,17,0,-1,0,54,16,50,65,-12,60,9,0,-1,0,8
529,67,20,-53,46,60,-12,18,1,-2,0,54,16,50,65,-13,59,9,0,0,0,8
529,67,20,-53,46,60,-10,19,1,-2,0,54,16,50,65,-14,58,8,-1,0,0,8
529,67,20,-53,46,61,-8,17,1,-1,-1,54,16,50,65,-15,58,8,-1,0,0,8
529,66,21,-53,46,62,-8,15,0,-1,-1,53,16,50,65,-16,59,8,-1,0,0,8
529,66,21,-53,46,60,-9,14,0,-1,-1,53,16,50,65,-15,60,9,-1,0,0,8
529,66,21,-53,46,60,-10,12,0,-1,-1,53,16,50,65,-13,61,8,-1,0,0,8
529,66,21,-54,46,62,-11,14,-1,-1,-1,53,16,51,65,-12,61,8,-1,0,-1,8
529,66,21,-54,46,63,-14,15,-1,-1,-1,53,16,51,65,-11,60,8,-1,0,-1,8
529,66,21,-54,46,64,-16,15,0,-1,-1,53,16,51,65,-11,59,9,-1,0,-1,8
529,66,21,-54,46,64,-18,15,0,-1,-1,53,16,51,65,-11,59,9,-1,0,-1,8
529,66,21,-54,46,63,-17,14,1,0,-1,53,16,51,65,-11,60,9,-1,0,-1,8
529,66,22,-54,46,63,-15,12,1,0,-1,53,16,51,65,-12,61,9,0,0,-1,8
529,66,22,-54,46,63,-15,14,1,0,-1,53,16,51,65,-11,61,9,0,1,-1,8
529,66,22,-53,46,62,-16,11,2,0,-1,53,16,51,64,-12,61,9,-1,1,-1,8
529,66,22,-53,46,63,-14,9,2,0,-1,52,16,51,64,-12,62,8,-1,1,-1,8
529,66,22,-53,46,64,-10,14,1,0,-1,52,16,52,64,-13,62,8,-1,1,-1,8
529,66,23,-53,46,62,-8,17,1,0,-1,52,16,52,64,-14,62,8,0,1,-1,8
529,66,23,-53,46,63,-8,17,0,0,-1,52,16,52,64,-17,61,8,0,0,-1,8
529,66,23,-53,46,62,-8,17,0,0,-1,52,16,52,64,-18,59,8,0,0,-1,8
529,66,23,-53,46,61,-8,18,-1,0,-1,52,16,52,64,-17,58,7,0,0,-1,8
529,66,23,-53,46,62,-8,17,-1,0,-1,52,16,52,64,-16,59,7,0,0,-1,8
529,66,23,-53,46,62,-8,17,-1,0,-1,52,16,52,64,-14,60,7,0,0,-1,8
529,66,23,-53,46,61,-9,16,-1,0,-1,52,16,53,64,-13,60,7,0,0,-1,8
529,66,23,-53,46,62,-7,15,-1,0,-1,52,16,53,64,-12,61,6,0,0,-1,8
529,66,23,-53,46,63,-6,16,0,-1,-1,52,16,53,64,-13,61,6,0,0,-1,8
529,66,23,-53,46,63,-5,16,-1,-1,-1,52,16,53,64,-14,61,6,0,0,-1,8
